rank,h3_index,city,tier,opportunity_score,lat,lon,h3_cell_acres,project_acres,dist_to_center_km,property_type,land_value_current,total_dev_cost,equity_required,buildable_sqft,noi_year1,noi_year5,stabilised_value,exit_value_yr5,exit_cap_rate,est_irr_pct,equity_multiple,value_uplift
14,88489e22bbfffff,austin,Tier 1 — Top 10%,0.9855,30.3572,-97.6697,207.8,10.1,12.2,residential,1758158,39211078,13723877,219978,2707234,2989005,53083021,58607944,0.051,21.97,3.48,56849786
15,88489e2755fffff,austin,Tier 1 — Top 10%,0.9832,30.3787,-97.7171,207.9,15.5,12.6,industrial,6528197,66192959,23167536,371349,3917257,4324968,65287610,72082797,0.06,6.37,2.33,65554600
16,88489e35abfffff,austin,Tier 1 — Top 10%,0.9817,30.34,-97.7197,207.9,7.3,8.4,residential,1608738,28340680,9919238,158994,1956714,2160370,38366936,42360197,0.051,21.97,3.48,40751460
17,88489eadd1fffff,austin,Tier 1 — Top 10%,0.9801,30.16,-97.7849,208.2,10.3,12.6,residential,798229,39987536,13995637,224334,2760843,3048193,54134170,59768497,0.051,21.97,3.48,58970268
18,88489e3291fffff,austin,Tier 1 — Top 10%,0.9786,30.1858,-97.7099,208.1,3.3,9.6,open_space,539402,5124616,1793616,28750,269575,297632,4647839,5131590,0.058,3.7,2.18,4592188
19,88489e205bfffff,austin,Tier 1 — Top 10%,0.9771,30.3277,-97.6269,207.8,15.9,13.0,industrial,1101647,67901165,23765408,380932,4018347,4436580,66972452,73942999,0.06,6.37,2.33,72841351
20,884898d937fffff,austin,Tier 1 — Top 10%,0.9755,30.25,-97.8623,208.3,11.6,11.6,vacant,1147391,36027605,12609662,202118,2487439,2746333,45226160,49933335,0.055,18.58,3.17,48785944
21,884898d93dfffff,austin,Tier 1 — Top 10%,0.9732,30.2345,-97.8613,208.3,4.9,11.9,commercial,448306,24730155,8655554,138739,2113966,2333989,34096219,37644981,0.062,25.54,3.72,37196675
22,88489eadbbfffff,austin,Tier 1 — Top 10%,0.9732,30.1915,-97.7665,208.2,3.8,8.7,commercial,775766,19178488,6712471,107593,1639402,1810032,26441966,29194067,0.062,25.54,3.72,28418301
25,884898d939fffff,austin,Tier 1 — Top 10%,0.9709,30.2342,-97.8715,208.3,10.5,12.9,residential,757806,40763992,14267397,228690,2814451,3107382,55185318,60929051,0.051,21.97,3.48,60171245
27,88489e36d9fffff,austin,Tier 1 — Top 10%,0.9694,30.2575,-97.8679,208.3,9.9,12.0,residential,880060,38434622,13452118,215622,2653625,2929817,52031872,57447391,0.051,21.97,3.48,56567330
29,88489e270bfffff,austin,Tier 1 — Top 10%,0.9679,30.3866,-97.7125,207.9,11.0,13.6,residential,5337805,42705135,14946797,239580,2948473,3255352,57813191,63830434,0.051,21.97,3.48,58492629
30,88489e2281fffff,austin,Tier 1 — Top 10%,0.9664,30.3342,-97.6631,207.9,13.5,10.7,industrial,1673595,57651932,20178176,323433,3411804,3766907,56863403,62781791,0.06,6.37,2.33,61108196
31,884898d92dfffff,austin,Tier 1 — Top 10%,0.9648,30.2199,-97.8399,208.2,9.0,10.7,residential,1121256,34940565,12229198,196020,2412387,2663470,47301702,52224901,0.051,21.97,3.48,51103645
32,88489eadd3fffff,austin,Tier 1 — Top 10%,0.9633,30.1675,-97.7905,208.2,9.9,12.0,residential,890733,38434622,13452118,215622,2653625,2929817,52031872,57447391,0.051,21.97,3.48,56556658
33,88489e2289fffff,austin,Tier 1 — Top 10%,0.9618,30.3263,-97.6677,207.9,4.2,9.8,commercial,655780,21197276,7419047,118919,1811971,2000562,29225331,32267127,0.062,25.54,3.72,31611347
35,88489e31d9fffff,austin,Tier 1 — Top 10%,0.9602,30.2123,-97.6145,207.9,4.5,13.8,open_space,258588,6988113,2445840,39204,367602,405862,6337962,6997622,0.058,3.7,2.18,6739034
36,884898d9e5fffff,austin,Tier 1 — Top 10%,0.9587,30.2571,-97.8781,208.3,10.6,13.0,residential,737495,41152221,14403277,230868,2841256,3136976,55710893,61509327,0.051,21.97,3.48,60771832
37,88489e3083fffff,austin,Tier 1 — Top 10%,0.9572,30.2338,-97.6619,208.0,11.2,8.6,industrial,2325042,47829751,16740413,268330,2830534,3125138,47175564,52085634,0.06,6.37,2.33,49760593
38,88489e30e1fffff,austin,Tier 1 — Top 10%,0.9557,30.2116,-97.6349,207.9,10.0,12.1,residential,875570,38822850,13587998,217800,2680430,2959411,52557446,58027667,0.051,21.97,3.48,57152097
40,88489e30b1fffff,austin,Tier 1 — Top 10%,0.9541,30.2496,-97.6526,207.9,11.5,8.9,industrial,2233864,49110905,17188817,275517,2906352,3208847,48439195,53480785,0.06,6.37,2.33,51246922
42,88489ead91fffff,austin,Tier 1 — Top 10%,0.9526,30.1833,-97.7813,208.2,8.5,10.0,residential,1248046,32999422,11549798,185130,2278365,2515499,44673829,49323517,0.051,21.97,3.48,48075471
43,88489e30e5fffff,austin,Tier 1 — Top 10%,0.9511,30.2119,-97.6247,207.9,15.8,12.9,industrial,1123443,67474113,23615940,378536,3993074,4408677,66551242,73477948,0.06,6.37,2.33,72354505
44,88489e22c7fffff,austin,Tier 1 — Top 10%,0.9495,30.3188,-97.6621,207.9,8.3,9.7,residential,1334076,32222966,11278038,180774,2224757,2456311,43622680,48162964,0.051,21.97,3.48,46828888
46,88489e35a3fffff,austin,Tier 1 — Top 10%,0.948,30.3479,-97.7151,207.9,8.1,9.4,residential,1719217,31446508,11006278,176418,2171148,2397123,42571531,47002411,0.051,21.97,3.48,45283194
47,88489e3299fffff,austin,Tier 1 — Top 10%,0.9465,30.1779,-97.7145,208.1,8.7,10.3,residential,1192309,33775879,11821558,189486,2331974,2574688,45724978,50484071,0.051,21.97,3.48,49291762
48,88489eade5fffff,austin,Tier 1 — Top 10%,0.945,30.1542,-97.7283,208.1,10.3,12.6,residential,786529,39987536,13995637,224334,2760843,3048193,54134170,59768497,0.051,21.97,3.48,58981969
