rank,h3_index,city,tier,opportunity_score,lat,lon,h3_cell_acres,project_acres,dist_to_center_km,property_type,land_value_current,total_dev_cost,equity_required,buildable_sqft,noi_year1,noi_year5,stabilised_value,exit_value_yr5,exit_cap_rate,est_irr_pct,equity_multiple,value_uplift
49,8848e96223fffff,phoenix,Tier 1 � Top 10%,0.6534,33.217,-112.2919,211.0,23.3,32.7,unknown,789218,81703314,28596160,405979,4908289,5690052,90894232,105371327,0.054,13.98,2.83,104582109
50,8848ebb689fffff,phoenix,Tier 1 � Top 10%,0.6533,33.2327,-112.0174,211.2,18.3,24.6,unknown,624945,64170414,22459645,318859,3855008,4469011,71389032,82759454,0.054,13.98,2.83,82134509
51,8848ebb183fffff,phoenix,Tier 1 � Top 10%,0.6532,33.2311,-111.7503,211.3,26.8,38.6,unknown,1478556,93976344,32891720,466963,5645585,6544780,104547872,121199638,0.054,13.98,2.83,119721082
52,8848e979e9fffff,phoenix,Tier 1 � Top 10%,0.6532,33.21,-112.0674,211.2,19.5,26.5,unknown,664618,68378310,23932408,339768,4107795,4762060,76070280,88186303,0.054,13.98,2.83,87521685
53,8848e979b9fffff,phoenix,Tier 1 � Top 10%,0.6531,33.2457,-112.0907,211.1,17.0,22.6,unknown,581689,59611860,20864151,296208,3581155,4151540,66317680,76880367,0.054,13.98,2.83,76298678
54,8848ebaa59fffff,phoenix,Tier 1 � Top 10%,0.6531,33.3315,-111.6444,211.2,28.8,42.0,unknown,966557,100989504,35346326,501811,6066897,7033197,112349952,130244387,0.054,13.98,2.83,129277830
55,8848ebba95fffff,phoenix,Tier 1 � Top 10%,0.653,33.2482,-111.6829,211.3,29.1,42.6,unknown,975985,102041478,35714517,507038,6130094,7106459,113520264,131601099,0.054,13.98,2.83,130625114
56,8848ebb0b7fffff,phoenix,Tier 1 � Top 10%,0.653,33.2457,-111.8131,211.3,23.5,33.1,unknown,2823314,82404630,28841620,409464,4950420,5738893,91674440,106275802,0.054,13.98,2.83,103452488
57,8829b6c927fffff,phoenix,Tier 1 � Top 10%,0.6529,33.7746,-111.8173,210.3,29.6,43.4,unknown,991985,103794768,36328169,515750,6235422,7228563,115470784,133862286,0.054,13.98,2.83,132870301
58,8848eb2657fffff,phoenix,Tier 1 � Top 10%,0.6529,33.7624,-111.7931,210.4,29.6,43.5,unknown,991807,103794768,36328169,515750,6235422,7228563,115470784,133862286,0.054,13.98,2.83,132870479
59,8829b6c897fffff,phoenix,Tier 1 � Top 10%,0.6528,33.8129,-111.9889,210.2,28.4,41.3,unknown,953757,99586872,34855405,494842,5982635,6935514,110789536,128435437,0.054,13.98,2.83,127481680
60,8848e9621dfffff,phoenix,Tier 1 � Top 10%,0.6528,33.2041,-112.3275,211.0,25.2,35.9,unknown,850828,88365816,30928036,439085,5308535,6154047,98306208,113963838,0.054,13.98,2.83,113113011
61,8829b6c925fffff,phoenix,Tier 1 � Top 10%,0.6527,33.7678,-111.8105,210.4,29.4,43.1,unknown,985547,103093452,36082708,512266,6193291,7179722,114690576,132957811,0.054,13.98,2.83,131972265
62,8848e96129fffff,phoenix,Tier 1 � Top 10%,0.6527,33.2709,-112.1882,211.0,16.9,22.4,unknown,578386,59261202,20741421,294466,3560089,4127119,65927576,76428130,0.054,13.98,2.83,75849744
63,8848e9605bfffff,phoenix,Tier 1 � Top 10%,0.6525,33.2443,-112.3191,211.0,22.9,32.1,unknown,776127,80300682,28105239,399010,4824026,5592368,89333816,103562377,0.054,13.98,2.83,102786250
64,8848e9605dfffff,phoenix,Tier 1 � Top 10%,0.6525,33.239,-112.3017,211.0,22.5,31.5,unknown,763088,78898050,27614318,392040,4739764,5494685,87773400,101753427,0.054,13.98,2.83,100990340
65,8829b6d6d5fffff,phoenix,Tier 1 � Top 10%,0.6525,33.5656,-112.3609,210.4,21.4,29.6,unknown,1024953,75040812,26264284,372874,4508042,5226056,83482256,96778815,0.054,13.98,2.83,95753862
66,8848e962e7fffff,phoenix,Tier 1 � Top 10%,0.6525,33.2428,-112.3297,211.0,23.4,33.0,unknown,792418,82053972,28718890,407722,4929354,5714472,91284336,105823564,0.054,13.98,2.83,105031147
