h3_index,opportunity_score,acreage_est,dist_to_center_km,dominant_property_type,est_land_value_acre,est_construction_months,est_cost_per_sqft,nearest_address,city_name,tier,lat,lon
88489e32b3fffff,0.722536496350365,208.03025678527553,8.842891626463741,residential,197318.4729272463,9.0,175.0,,austin,Tier 1 — Top 10%,30.20194057847338,-97.69049539875051
88489e36d9fffff,0.7216362530413626,208.25387987614175,12.032323573384499,residential,88895.45803885431,9.0,175.0,,austin,Tier 1 — Top 10%,30.257503556865565,-97.86787784044206
88489e361dfffff,0.7212287104622872,208.20036619875438,8.126549223250882,NaN,,,,,austin,Tier 1 — Top 10%,30.22847971290267,-97.81485251852469
88489e270bfffff,0.7205474452554744,207.8737814972286,13.59864822543265,residential,485254.99404881155,9.0,175.0,,austin,Tier 1 — Top 10%,30.386602995976325,-97.71246698573601
88489e2281fffff,0.7198905109489051,207.85010935017033,10.702016809564597,industrial,123969.76949573336,12.0,105.0,,austin,Tier 1 — Top 10%,30.334227775703997,-97.66310283536274
884898d92dfffff,0.7188260340632604,208.2486182194194,10.682246212915121,residential,124584.02534816696,9.0,175.0,,austin,Tier 1 — Top 10%,30.219855596524596,-97.83986134668596
88489eadd3fffff,0.7184124087591242,208.2241201182189,11.984114927532723,residential,89973.32270492148,9.0,175.0,,austin,Tier 1 — Top 10%,30.167503193029052,-97.79047857734061
88489e2289fffff,0.7174939172749393,207.86569262804107,9.779216766120136,commercial,156137.6128971642,16.0,230.0,,austin,Tier 1 — Top 10%,30.326345757495872,-97.66771695404759
88489e34b1fffff,0.7171897810218979,208.05187704242294,11.069113527318633,vacant,113099.00234166856,0.0,0.0,,austin,Tier 1 — Top 10%,30.35257448372202,-97.80239937103339
88489e31d9fffff,0.7160462287104623,207.89812729208305,13.777527058915853,open_space,57464.087022558684,0.0,0.0,,austin,Tier 1 — Top 10%,30.212286006556972,-97.61453475324298
884898d9e5fffff,0.7159063260340632,208.2702686874603,13.01255337582804,residential,69574.88120185284,9.0,175.0,,austin,Tier 1 — Top 10%,30.257136288768756,-97.87808592058478
88489e3083fffff,0.7157542579075427,207.95192994931995,8.639858696263842,industrial,207592.55113975314,12.0,105.0,,austin,Tier 1 — Top 10%,30.23384097806418,-97.66186342156875
88489e30e1fffff,0.7154318734793188,207.93154396793113,12.092995354403586,residential,87557.27102749642,9.0,175.0,,austin,Tier 1 — Top 10%,30.211587916840593,-97.6349187955299
88489e262dfffff,0.7147810218978102,207.92348938039,13.159457494820334,residential,404449.41201151174,9.0,175.0,,austin,Tier 1 — Top 10%,30.38554584442831,-97.74310375142461
88489e30b1fffff,0.7144464720194648,207.92100237501455,8.905594629001275,industrial,194249.475017975,12.0,105.0,,austin,Tier 1 — Top 10%,30.24961083718574,-97.65264144474698
88489e34b9fffff,0.71426399026764,208.0674170119266,10.577109366701489,residential,127902.03281067504,9.0,175.0,,austin,Tier 1 — Top 10%,30.344685485703653,-97.80700809928172
88489ead91fffff,0.713448905109489,208.19350615130008,10.02509299073091,residential,146829.00761266745,9.0,175.0,,austin,Tier 1 — Top 10%,30.183292200215995,-97.78127307401539
88489e30e5fffff,0.7133211678832116,207.91484211612715,12.925568328268122,industrial,71104.44566705219,12.0,105.0,,austin,Tier 1 — Top 10%,30.21193736524071,-97.62472653752556
88489e22c7fffff,0.7123540145985401,207.8646131382826,9.663211556320997,residential,160732.1081843416,9.0,175.0,,austin,Tier 1 — Top 10%,30.318812644484083,-97.66212715710012
88489e34d7fffff,0.7119829683698298,208.11490927774835,10.513910395256461,residential,129938.9006625816,9.0,175.0,,austin,Tier 1 — Top 10%,30.328544536062132,-97.82643582213056
88489e35a3fffff,0.7108880778588809,207.91865991975845,9.36592094988944,residential,212249.33637767995,9.0,175.0,,austin,Tier 1 — Top 10%,30.34789020064048,-97.71511441946365
88489e3299fffff,0.7105900243309002,208.09297346547123,10.300862245155322,residential,137047.33575287752,9.0,175.0,,austin,Tier 1 — Top 10%,30.177916725288892,-97.71451026682797
88489eade5fffff,0.7094890510948905,208.13895169796047,12.64024558053549,residential,76361.64556754785,9.0,175.0,,austin,Tier 1 — Top 10%,30.154242800816814,-97.72832590563374
88489e35a5fffff,0.7087895377128954,207.90104728185835,9.191559474755138,commercial,180847.12754561534,16.0,230.0,,austin,Tier 1 — Top 10%,30.34071021248504,-97.69931205223968
88489e3293fffff,0.7087895377128954,208.0788543250001,8.630505532273391,unknown,208078.53089286678,12.0,180.0,,austin,Tier 1 — Top 10%,30.19334034732417,-97.71549192191003
88489e34abfffff,0.7072992700729928,208.04998892734233,9.080140124892642,residential,185955.40979001977,9.0,175.0,,austin,Tier 1 — Top 10%,30.33751492885592,-97.79119316160804
88489e349dfffff,0.7068795620437955,208.09940147812028,10.788655985739068,residential,121313.4809999555,9.0,175.0,,austin,Tier 1 — Top 10%,30.336435217095797,-97.82182858570566
88489e31dbfffff,0.7062043795620437,207.89939717510106,12.935416879897433,industrial,70929.59206117345,12.0,105.0,,austin,Tier 1 — Top 10%,30.21982134479496,-97.62011504825216
88489e2295fffff,0.7061192214111922,207.85220727798477,11.267962421255746,residential,161853.31933918013,9.0,175.0,,austin,Tier 1 — Top 10%,30.349293408298706,-97.67428496172012
88489e329bfffff,0.7060827250608274,208.09421486875652,9.354951512555962,open_space,173608.7259661982,0.0,0.0,McKinney Falls Parkway,austin,Tier 1 — Top 10%,30.18545011073215,-97.72009820859067
88489eadd7fffff,0.7058759124087592,208.20761539173654,11.608873013501547,vacant,98822.33979785853,0.0,0.0,,austin,Tier 1 — Top 10%,30.167866010950664,-97.7802825269025
88489e22cdfffff,0.705352798053528,207.8790729959093,8.838285212439946,residential,197545.83646365334,9.0,175.0,Ed Bluestein Boulevard,austin,Tier 1 — Top 10%,30.303396790032817,-97.66115174051076
88489e22e3fffff,0.7050243309002433,207.83236958826538,11.351501094493445,multifamily,105389.88568511506,20.0,215.0,East US Highway 290,austin,Tier 1 — Top 10%,30.3270427141386,-97.6473097007958
88489e228bfffff,0.7043248175182482,207.8667569232314,9.993374555301557,commercial,147997.9326460624,16.0,230.0,Exchange Drive,austin,Tier 1 — Top 10%,30.33387865868903,-97.67330763009608
88489e2751fffff,0.7037408759124087,207.90599012871363,12.454098185480587,commercial,414654.70907590946,16.0,230.0,Reid Drive,austin,Tier 1 — Top 10%,30.378368107410083,-97.72729233245954
