rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
682,88489e319dfffff,0.5881,207.9,14.1,industrial,52841,12,30.2359,-97.6007,Tier 2 — Top 25%
683,88489e253dfffff,0.5880,207.7,22.6,industrial,126612,12,30.4579,-97.6607,Tier 2 — Top 25%
684,8848985347fffff,0.5880,208.0,25.3,NaN,0,0,30.4745,-97.8513,Tier 2 — Top 25%
685,88489e24c1fffff,0.5879,207.9,22.8,residential,101175,9,30.4691,-97.7843,Tier 2 — Top 25%
686,8848985333fffff,0.5877,208.0,30.1,NaN,0,0,30.5207,-97.8543,Tier 2 — Top 25%
687,88489e374bfffff,0.5877,208.1,7.5,residential,279068,9,30.2002,-97.7415,Tier 2 — Top 25%
688,88489e210dfffff,0.5876,207.6,23.1,vacant,48859,0,30.3315,-97.5147,Tier 2 — Top 25%
689,8848985155fffff,0.5875,207.9,31.2,NaN,0,0,30.5368,-97.8348,Tier 2 — Top 25%
690,88489e2199fffff,0.5873,207.7,21.0,residential,51748,9,30.3986,-97.5853,Tier 2 — Top 25%
691,88489e3565fffff,0.5871,207.9,7.6,residential,267900,9,30.2647,-97.6638,Tier 2 — Top 25%
692,88489e32d1fffff,0.5871,208.1,12.0,residential,89961,9,30.1625,-97.7135,Tier 2 — Top 25%
693,88489e3585fffff,0.5870,207.9,7.4,residential,280197,9,30.3321,-97.7243,Tier 2 — Top 25%
694,8848985a27fffff,0.5870,207.7,33.1,NaN,0,0,30.5640,-97.7187,Tier 2 — Top 25%
695,88489e211dfffff,0.5870,207.6,21.7,NaN,0,0,30.3462,-97.5361,Tier 2 — Top 25%
696,88489e2ea3fffff,0.5869,207.6,29.9,NaN,0,0,30.5133,-97.6181,Tier 2 — Top 25%
697,88489e2c11fffff,0.5869,207.5,31.3,NaN,0,0,30.5144,-97.5875,Tier 2 — Top 25%
698,88489e26d9fffff,0.5869,208.0,19.6,open_space,65385,0,30.4207,-97.8426,Tier 2 — Top 25%
699,88489e3037fffff,0.5868,207.9,14.6,unknown,49273,12,30.2048,-97.6090,Tier 2 — Top 25%
700,88489e36ebfffff,0.5867,208.2,8.1,residential,236728,9,30.2590,-97.8271,Tier 2 — Top 25%
701,88489e24e9fffff,0.5867,207.9,22.6,vacant,124120,0,30.4698,-97.7639,Tier 2 — Top 25%
702,88489e22a7fffff,0.5867,207.8,14.0,vacant,92541,0,30.3507,-97.6335,Tier 2 — Top 25%
703,88489e2085fffff,0.5867,207.7,18.0,residential,100065,9,30.3897,-97.6206,Tier 2 — Top 25%
704,8848985b1dfffff,0.5866,207.7,32.6,NaN,0,0,30.5571,-97.6926,Tier 2 — Top 25%
705,88489e2c3bfffff,0.5865,207.5,32.8,NaN,0,0,30.5226,-97.5726,Tier 2 — Top 25%
706,88489e265bfffff,0.5863,208.0,13.6,residential,117925,9,30.3755,-97.8090,Tier 2 — Top 25%
707,88489e25cdfffff,0.5861,207.8,22.2,vacant,169199,0,30.4640,-97.7072,Tier 2 — Top 25%
708,884898ca11fffff,0.5860,208.3,23.2,NaN,0,0,30.3388,-97.9705,Tier 2 — Top 25%
709,88489e2eebfffff,0.5860,207.6,26.4,NaN,0,0,30.4822,-97.6264,Tier 2 — Top 25%
710,88489e3615fffff,0.5860,208.2,7.3,residential,289898,9,30.2364,-97.8102,Tier 2 — Top 25%
711,88489e36c1fffff,0.5860,208.2,9.7,residential,160817,9,30.2507,-97.8419,Tier 2 — Top 25%
712,884898cb65fffff,0.5858,208.2,11.1,residential,112994,9,30.3124,-97.8459,Tier 2 — Top 25%
713,884898c917fffff,0.5856,208.1,19.1,open_space,49055,0,30.4046,-97.8621,Tier 2 — Top 25%
714,88489e363dfffff,0.5856,208.2,5.6,residential,443855,9,30.2371,-97.7898,Tier 2 — Top 25%
715,88489e3113fffff,0.5855,207.8,18.1,NaN,0,0,30.1983,-97.5728,Tier 2 — Top 25%
716,88489eaeb5fffff,0.5854,208.4,18.0,residential,59116,9,30.1345,-97.8497,Tier 2 — Top 25%
717,88489e2669fffff,0.5854,208.0,10.6,residential,229780,9,30.3619,-97.7569,Tier 2 — Top 25%
718,88489e30a7fffff,0.5854,207.9,11.5,industrial,101335,12,30.2428,-97.6267,Tier 2 — Top 25%
719,88489eac33fffff,0.5853,208.3,14.5,residential,49278,9,30.1442,-97.7941,Tier 2 — Top 25%
720,884898db2dfffff,0.5853,208.4,16.8,residential,49164,9,30.1646,-97.8721,Tier 2 — Top 25%
721,88489e39e3fffff,0.5853,207.5,33.5,NaN,0,0,30.2814,-97.3942,Tier 2 — Top 25%
