rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
63,88489eac87fffff,0.926605504587156,208.3,13.1,residential,67814,9,30.1739,-97.8267,Tier 1 — Top 10%,True,1.0,,1.0,8.226547999999811,8,False,0.7029
65,88489ead99fffff,0.9250764525993884,208.2,11.0,residential,114947,9,30.1754,-97.7859,Tier 1 — Top 10%,True,1.0,,1.0,8.393527999999817,9,False,0.702
66,88489e35b1fffff,0.9235474006116208,207.9,9.8,residential,246121,9,30.3551,-97.7309,Tier 1 — Top 10%,True,1.0,,1.0,23.928330939331083,25,False,0.7018
67,88489e2299fffff,0.9220183486238532,207.9,9.7,residential,160368,9,30.3411,-97.6891,Tier 1 — Top 10%,True,1.0,,1.0,26.839251999999934,29,False,0.7009
69,88489e22e9fffff,0.9204892966360856,207.8,10.5,residential,129658,9,30.3116,-97.6463,Tier 1 — Top 10%,True,1.0,,1.0,23.555311999999677,25,False,0.7005
70,88489e30adfffff,0.918960244648318,207.9,12.1,residential,87045,9,30.2274,-97.6257,Tier 1 — Top 10%,True,1.0,,1.0,14.182167999999772,15,False,0.7004
71,88489e2261fffff,0.9174311926605505,207.8,13.5,residential,61741,9,30.2668,-97.6026,Tier 1 — Top 10%,True,1.0,,1.0,18.568175999999834,20,False,0.6999
72,88489e2761fffff,0.9159021406727829,207.8,13.1,residential,255761,9,30.3722,-97.6809,Tier 1 — Top 10%,True,1.0,,1.0,26.97829402788289,29,False,0.6997
73,88489e2053fffff,0.9143730886850153,207.8,13.9,industrial,63922,12,30.3356,-97.6223,Tier 1 — Top 10%,True,1.0,,1.0,21.35820105499805,23,False,0.6992
75,88489e31d1fffff,0.9128440366972477,207.9,13.8,industrial,56848,12,30.2202,-97.6099,Tier 1 — Top 10%,True,1.0,,1.0,13.380663999999662,14,False,0.6983
76,88489e32c3fffff,0.9113149847094801,208.1,13.2,industrial,66688,12,30.1553,-97.6978,Tier 1 — Top 10%,True,1.0,,1.0,6.15599599999989,6,False,0.6979
78,88489e22d3fffff,0.9097859327217125,207.9,8.7,residential,202717,9,30.3332,-97.6937,Tier 1 — Top 10%,True,1.0,,1.0,25.95982400000001,28,False,0.6968
79,88489eadd5fffff,0.908256880733945,208.2,12.3,residential,83882,9,30.1603,-97.7747,Tier 1 — Top 10%,True,1.0,,1.0,6.712595999999779,7,False,0.6967
80,88489e22a3fffff,0.9067278287461774,207.8,13.3,residential,108040,9,30.3503,-97.6437,Tier 1 — Top 10%,True,1.0,,1.0,23.41076005951765,25,False,0.6959
81,88489e36cbfffff,0.904434250764526,208.2,10.6,residential,126150,9,30.2503,-97.8521,Tier 1 — Top 10%,True,1.0,,1.0,12.29910378733265,13,False,0.6939
82,88489eaca9fffff,0.904434250764526,208.3,12.9,residential,71083,9,30.1668,-97.8109,Tier 1 — Top 10%,True,1.0,,1.0,7.436175999999675,8,False,0.6939
83,88489e22a9fffff,0.9021406727828746,207.8,12.2,residential,85065,9,30.3349,-97.6427,Tier 1 — Top 10%,True,1.0,,1.0,23.318364622409618,25,False,0.6933
84,88489e2749fffff,0.900611620795107,207.9,10.3,residential,249239,9,30.3558,-97.7105,Tier 1 — Top 10%,True,1.0,,1.0,25.88775209720587,28,False,0.6932
85,88489e30b9fffff,0.8990825688073395,207.9,8.7,industrial,203547,12,30.2417,-97.6573,Tier 2 — Top 25%,True,1.0,,1.0,15.774044000000016,17,False,0.6926
87,88489e2769fffff,0.8975535168195719,207.9,12.1,residential,240412,9,30.3644,-97.6855,Tier 2 — Top 25%,True,1.0,,1.0,27.422276167227416,29,False,0.6915
88,88489eadb1fffff,0.8960244648318043,208.1,8.5,residential,216743,9,30.1919,-97.7563,Tier 2 — Top 25%,True,1.0,,1.0,10.230307999999885,11,False,0.6905
89,88489e3089fffff,0.8944954128440367,208.0,9.6,vacant,164088,0,30.2184,-97.6609,Tier 2 — Top 25%,True,0.2948,airport,1.0,13.180287999999734,14,False,0.6903
90,88489ead33fffff,0.8929663608562691,208.1,13.5,residential,60979,9,30.1467,-97.7227,Tier 2 — Top 25%,True,1.0,,1.0,5.1986439999997485,5,False,0.6895
92,88489e275bfffff,0.8914373088685015,207.9,12.3,residential,381888,9,30.378,-97.7375,Tier 2 — Top 25%,True,0.7857,water,1.0,23.288886264448116,25,False,0.6886
97,88489e22d1fffff,0.8891437308868502,207.9,8.4,residential,221964,9,30.3256,-97.6881,Tier 2 — Top 25%,True,1.0,,1.0,25.113792,27,False,0.6882
98,88489e2203fffff,0.8891437308868502,207.8,11.2,residential,110336,9,30.289,-97.6296,Tier 2 — Top 25%,True,1.0,,1.0,21.039480000000005,22,False,0.6882
99,88489e22d7fffff,0.8868501529051988,207.9,9.3,commercial,174523,16,30.3335,-97.6835,Tier 2 — Top 25%,True,1.0,,1.0,25.99321999999993,28,False,0.688
102,88489eacadfffff,0.8853211009174312,208.2,12.4,residential,80570,9,30.1671,-97.8007,Tier 2 — Top 25%,True,1.0,,1.0,7.469571999999992,8,False,0.6878
104,88489e30e7fffff,0.8830275229357798,207.9,12.1,residential,88176,9,30.2195,-97.6303,Tier 2 — Top 25%,True,1.0,,1.0,13.302739999999844,14,False,0.6875
105,88489e32a1fffff,0.8830275229357798,208.0,12.4,infrastructure,81629,0,30.1797,-97.6635,Tier 2 — Top 25%,True,0.9152,airport,1.0,8.872203999999888,9,False,0.6875
107,88489e32d9fffff,0.8807339449541285,208.1,12.7,residential,74328,9,30.1546,-97.7181,Tier 2 — Top 25%,True,1.0,,1.0,6.078071999999676,6,False,0.6868
108,88489e274bfffff,0.8792048929663608,207.9,11.0,residential,299074,9,30.3633,-97.7161,Tier 2 — Top 25%,True,1.0,,1.0,25.34788117730343,27,False,0.6865
112,88489e30e3fffff,0.8769113149847095,207.9,11.2,vacant,109123,0,30.2191,-97.6405,Tier 2 — Top 25%,True,0.5233,airport,1.0,13.258211999999949,14,False,0.6848
113,88489e225bfffff,0.8769113149847095,207.9,8.1,industrial,238828,12,30.2726,-97.6592,Tier 2 — Top 25%,True,1.0,,1.0,19.21383199999991,20,False,0.6848
114,88489e35b9fffff,0.8738532110091743,208.0,8.9,residential,203598,9,30.3472,-97.7355,Tier 2 — Top 25%,True,0.9557,water,1.0,23.48835519865737,25,False,0.6842
115,88489e30d1fffff,0.8738532110091743,208.0,8.1,infrastructure,237831,0,30.2177,-97.6813,Tier 2 — Top 25%,True,0.2035,airport,1.0,13.102363999999916,14,False,0.6842
116,88489e2263fffff,0.8715596330275229,207.8,13.0,residential,70182,9,30.2743,-97.6082,Tier 2 — Top 25%,True,1.0,,1.0,19.403075999999864,21,False,0.6836
117,884898d931fffff,0.8700305810397554,208.3,12.2,residential,84984,9,30.2421,-97.8669,Tier 2 — Top 25%,True,1.0,,1.0,10.876815679681906,11,False,0.6827
118,88489e366dfffff,0.8685015290519877,208.2,8.1,commercial,239396,16,30.1991,-97.7721,Tier 2 — Top 25%,True,1.0,,1.0,11.031811999999995,11,False,0.6825
119,88489e3257fffff,0.8669724770642202,208.1,18.1,vacant,49104,0,30.1176,-97.6698,Tier 2 — Top 25%,True,1.0,,1.0,1.959231999999784,2,False,0.6822
120,88489e30d5fffff,0.8654434250764526,208.0,8.8,vacant,198698,0,30.2181,-97.6711,Tier 2 — Top 25%,True,0.2492,airport,1.0,13.146891999999811,14,False,0.682
121,88489e3527fffff,0.863914373088685,207.9,8.1,residential,239628,9,30.2955,-97.6658,Tier 2 — Top 25%,True,1.0,,1.0,21.7630599999999,23,False,0.6819
125,88489e2215fffff,0.8623853211009175,207.8,10.9,residential,118977,9,30.2966,-97.6352,Tier 2 — Top 25%,True,1.0,,1.0,21.88551200000001,23,False,0.6807
126,88489e2757fffff,0.8608562691131498,207.9,13.4,industrial,500220,12,30.3863,-97.7227,Tier 2 — Top 25%,True,1.0,,1.0,24.708130061458387,26,False,0.6796
127,88489e3a37fffff,0.8585626911314985,207.7,27.3,,0,0,30.2095,-97.4663,Tier 2 — Top 25%,True,1.0,,1.0,6.3781783529723866,6,False,0.6794
129,88489e30b5fffff,0.8585626911314985,207.9,9.9,industrial,153180,12,30.25,-97.6424,Tier 2 — Top 25%,True,1.0,,1.0,16.69799999999984,18,False,0.6794
130,88489e2c57fffff,0.8562691131498471,207.6,29.8,,0,0,30.4989,-97.5865,Tier 2 — Top 25%,True,1.0,,1.0,16.82045199999995,18,False,0.6793
132,88489e3a3dfffff,0.8547400611620795,207.7,27.9,,0,0,30.1941,-97.4654,Tier 2 — Top 25%,True,1.0,,1.0,6.292581114811104,6,False,0.6792
134,88489e32dbfffff,0.8532110091743119,208.1,11.8,residential,93503,9,30.1621,-97.7237,Tier 2 — Top 25%,True,1.0,,1.0,6.912971999999708,7,False,0.6786
138,88489e275dfffff,0.8516819571865444,207.9,11.7,unknown,355497,12,30.3708,-97.7217,Tier 2 — Top 25%,True,1.0,,1.0,24.80809231944373,26,False,0.6775
140,88489e30a3fffff,0.8501529051987767,207.9,10.6,residential,128147,9,30.2424,-97.6369,Tier 2 — Top 25%,True,1.0,,1.0,15.851967999999836,17,False,0.6768
142,88489e3289fffff,0.8486238532110092,208.1,12.5,residential,78686,9,30.1632,-97.6931,Tier 2 — Top 25%,True,1.0,,1.0,7.035423999999818,7,False,0.6752
143,88489e2291fffff,0.8470948012232415,207.9,10.7,residential,179699,9,30.3489,-97.6845,Tier 2 — Top 25%,True,1.0,,1.0,27.330556119094368,29,False,0.6748
144,88489e2201fffff,0.845565749235474,207.8,11.5,residential,100344,9,30.2815,-97.624,Tier 2 — Top 25%,True,1.0,,1.0,20.204579999999975,21,False,0.6746
146,88489e35b5fffff,0.8440366972477065,207.9,10.0,residential,252337,9,30.3554,-97.7207,Tier 2 — Top 25%,True,1.0,,1.0,24.908057753944462,27,False,0.6745
147,88489e30b3fffff,0.8425076452599388,207.9,8.2,industrial,230123,12,30.2571,-97.6582,Tier 2 — Top 25%,True,1.0,,1.0,17.488371999999977,18,False,0.6741
152,88489e22c5fffff,0.8409785932721713,207.9,9.6,residential,161308,9,30.3113,-97.6565,Tier 2 — Top 25%,True,1.0,,1.0,23.521915999999756,25,False,0.6724
153,88489ead89fffff,0.8394495412844036,208.2,12.0,residential,89173,9,30.1607,-97.7645,Tier 2 — Top 25%,True,1.0,,1.0,6.757123999999676,7,False,0.6719
155,88489e30e9fffff,0.8379204892966361,207.9,12.2,residential,85236,9,30.2037,-97.6395,Tier 2 — Top 25%,True,0.3154,airport,1.0,11.543883999999988,12,False,0.6717
156,88489e22e7fffff,0.8363914373088684,207.8,12.2,vacant,85677,0,30.3274,-97.6371,Tier 2 — Top 25%,True,1.0,,1.0,22.782067168342607,24,False,0.6716
