rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier,developable,developable_frac,exclusion_reasons,feature_completeness,boundary_dist_km,boundary_rings,edge_flagged,score_raw
135,8848ebacedfffff,0.8924302788844621,210.8,29.0,unknown,33997,12,33.5239,-111.7741,Tier 2 — Top 25%,True,0.9149,tribal,1.0,11.51679425411976,12,False,0.6475
137,8829b6ce8dfffff,0.8897742363877822,210.1,41.2,unknown,33586,12,33.8123,-112.1584,Tier 2 — Top 25%,True,1.0,,1.0,4.196764000000106,4,False,0.6473
138,8848e961b9fffff,0.8897742363877822,210.9,21.7,unknown,34249,12,33.3308,-112.2599,Tier 2 — Top 25%,True,1.0,,1.0,8.380129619789807,9,False,0.6473
139,8848eba135fffff,0.8897742363877822,211.1,37.9,unknown,53083,12,33.3658,-111.6782,Tier 2 — Top 25%,True,1.0,,1.0,2.621805478617815,2,False,0.6473
140,8848ebba97fffff,0.8871181938911022,211.3,41.7,unknown,33570,12,33.2551,-111.6896,Tier 2 — Top 25%,True,1.0,,1.0,3.6863616864186373,3,False,0.6471
141,8848e96199fffff,0.8857901726427623,210.9,24.3,unknown,34160,12,33.3194,-112.2849,Tier 2 — Top 25%,True,1.0,,1.0,6.055691591797973,6,False,0.647
142,8848e97999fffff,0.8837981407702523,211.1,24.1,unknown,34165,12,33.2344,-112.1157,Tier 2 — Top 25%,True,1.0,,1.0,3.8294079999997757,4,False,0.6468
143,8829b6c095fffff,0.8837981407702523,210.2,31.9,unknown,33899,12,33.7268,-112.158,Tier 2 — Top 25%,True,1.0,,1.0,13.714624000000466,14,False,0.6468
144,8848e96859fffff,0.8811420982735724,211.0,15.7,unknown,34453,12,33.3171,-112.1374,Tier 2 — Top 25%,True,1.0,,1.0,13.035572000000071,14,False,0.6466
145,8848ebb715fffff,0.8811420982735724,211.3,30.1,unknown,58288,12,33.2172,-111.9055,Tier 2 — Top 25%,True,1.0,,1.0,1.9147039999994924,2,False,0.6466
146,8848ebb4dbfffff,0.8771580345285525,211.1,18.6,unknown,34354,12,33.2866,-112.0225,Tier 2 — Top 25%,True,1.0,,1.0,9.64031199999968,10,False,0.6462
147,8829b6c52bfffff,0.8771580345285525,210.2,37.1,unknown,33724,12,33.7707,-112.1776,Tier 2 — Top 25%,True,1.0,,1.0,8.827676000000388,9,False,0.6462
149,8829b6ced9fffff,0.8771580345285525,210.1,40.6,unknown,33606,12,33.7995,-112.1942,Tier 2 — Top 25%,True,1.0,,1.0,5.621659999999949,6,False,0.6462
151,8848e9798dfffff,0.8771580345285525,211.2,25.0,unknown,34135,12,33.2237,-112.081,Tier 2 — Top 25%,True,1.0,,1.0,2.6382839999997834,2,False,0.6462
153,8848ebb46dfffff,0.8725099601593626,211.2,28.5,unknown,71728,12,33.2324,-111.9085,Tier 2 — Top 25%,True,1.0,,1.0,3.6067679999995037,3,False,0.6458
154,8829b6c735fffff,0.8725099601593626,210.2,33.4,unknown,33849,12,33.7276,-112.2073,Tier 2 — Top 25%,True,1.0,,1.0,13.211646773952106,14,False,0.6458
155,8829b6c565fffff,0.8725099601593626,210.2,34.4,unknown,33814,12,33.7503,-112.1571,Tier 2 — Top 25%,True,1.0,,1.0,11.09860399999984,12,False,0.6458
157,8848e96167fffff,0.8691899070385126,211.0,22.8,unknown,34210,12,33.264,-112.1814,Tier 2 — Top 25%,True,1.0,,1.0,7.1244800000000055,7,False,0.6457
