rank,h3_index,score,acres,dist_km,type,land_val_acre,build_mo,lat,lon,tier
121,8829b6db67fffff,0.6485,210.8,22.5,unknown,123342,12,33.5287,-111.8515,Tier 1 — Top 10%
122,8829b6c939fffff,0.6485,210.3,41.4,unknown,33579,12,33.7702,-111.8493,Tier 1 — Top 10%
123,8848e96205fffff,0.6485,211.1,34.6,unknown,33807,12,33.2003,-112.2995,Tier 1 — Top 10%
124,8848e9620dfffff,0.6483,211.1,35.6,unknown,33775,12,33.1920,-112.3033,Tier 1 — Top 10%
125,8848ebac33fffff,0.6483,210.8,30.0,unknown,33963,12,33.5253,-111.7635,Tier 1 — Top 10%
126,8848e96217fffff,0.6483,211.0,34.9,unknown,33799,12,33.2193,-112.3305,Tier 1 — Top 10%
127,8848ebb717fffff,0.6483,211.3,29.1,unknown,61157,12,33.2241,-111.9123,Tier 1 — Top 10%
128,8848ebb1c5fffff,0.6480,211.4,41.8,unknown,33565,12,33.2022,-111.7339,Tier 1 — Top 10%
129,8848e9623dfffff,0.6480,211.0,33.5,unknown,33846,12,33.2155,-112.3025,Tier 1 — Top 10%
130,8829b6cad5fffff,0.6478,210.3,31.3,unknown,33922,12,33.7244,-112.0099,Tier 1 — Top 10%
131,8848eb3457fffff,0.6478,210.6,36.3,unknown,33752,12,33.6564,-111.7725,Tier 1 — Top 10%
132,8848e962e9fffff,0.6478,211.0,34.8,unknown,33803,12,33.2261,-112.3373,Tier 1 — Top 10%
133,8829b6c59dfffff,0.6478,210.0,44.0,unknown,33491,12,33.8138,-112.2572,Tier 1 — Top 10%
134,8848eb2653fffff,0.6475,210.4,42.8,unknown,33531,12,33.7610,-111.8037,Tier 1 — Top 10%
135,8848ebacedfffff,0.6475,210.8,29.0,unknown,33997,12,33.5239,-111.7741,Tier 1 — Top 10%
136,8848e96207fffff,0.6475,211.1,34.4,unknown,33814,12,33.2072,-112.3063,Tier 1 — Top 10%
137,8829b6ce8dfffff,0.6473,210.1,41.2,unknown,33586,12,33.8123,-112.1584,Tier 1 — Top 10%
138,8848e961b9fffff,0.6473,210.9,21.7,unknown,34249,12,33.3308,-112.2599,Tier 1 — Top 10%
139,8848eba135fffff,0.6473,211.1,37.9,unknown,53083,12,33.3658,-111.6782,Tier 1 — Top 10%
140,8848ebba97fffff,0.6471,211.3,41.7,unknown,33570,12,33.2551,-111.6896,Tier 1 — Top 10%
141,8848e96199fffff,0.6470,210.9,24.3,unknown,34160,12,33.3194,-112.2849,Tier 1 — Top 10%
142,8848e97999fffff,0.6468,211.1,24.1,unknown,34165,12,33.2344,-112.1157,Tier 1 — Top 10%
143,8829b6c095fffff,0.6468,210.2,31.9,unknown,33899,12,33.7268,-112.1580,Tier 1 — Top 10%
144,8848e96859fffff,0.6466,211.0,15.7,unknown,34453,12,33.3171,-112.1374,Tier 1 — Top 10%
145,8848ebb715fffff,0.6466,211.3,30.1,unknown,58288,12,33.2172,-111.9055,Tier 1 — Top 10%
146,8848ebb4dbfffff,0.6462,211.1,18.6,unknown,34354,12,33.2866,-112.0225,Tier 1 — Top 10%
147,8829b6c52bfffff,0.6462,210.2,37.1,unknown,33724,12,33.7707,-112.1776,Tier 1 — Top 10%
148,8848ebb1ddfffff,0.6462,211.4,39.6,unknown,43154,12,33.2061,-111.7619,Tier 1 — Top 10%
149,8829b6ced9fffff,0.6462,210.1,40.6,unknown,33606,12,33.7995,-112.1942,Tier 1 — Top 10%
150,8848eba88bfffff,0.6462,211.0,39.7,unknown,33637,12,33.4559,-111.6464,Tier 1 — Top 10%
151,8848e9798dfffff,0.6462,211.2,25.0,unknown,34135,12,33.2237,-112.0810,Tier 1 — Top 10%
152,8848e962bdfffff,0.6462,210.9,32.9,unknown,33867,12,33.2633,-112.3501,Tier 1 — Top 10%
153,8848ebb46dfffff,0.6458,211.2,28.5,unknown,71728,12,33.2324,-111.9085,Tier 1 — Top 10%
154,8829b6c735fffff,0.6458,210.2,33.4,unknown,33849,12,33.7276,-112.2073,Tier 1 — Top 10%
155,8829b6c565fffff,0.6458,210.2,34.4,unknown,33814,12,33.7503,-112.1571,Tier 1 — Top 10%
